outcome,var_a,var_b,var_c,var_d,var_e,var_f,var_g,var_h
0,713,33460,0,43,1,311507.45,22,3.5
0,678,24340,30,19,2,105625.36,8,3.875
0,798,-1,0,37,1,92272.42,18,3.5
0,813,33460,0,8,2,12772.7,25,3.125
0,733,36084,0,39,1,466682.19,8,3.25
0,772,34940,0,37,2,228331.16,25,3.25
0,811,12060,25,30,1,171738.98,16,3.125
0,755,11244,0,40,2,463733.99,8,4.625
0,786,38300,12,40,1,388320.01,19,3.625
0,744,-1,0,46,1,356000,3,3.25
0,659,23844,0,21,1,193917.36,16,3
0,801,38060,0,31,1,225316.3,20,3.25
0,713,39340,12,34,2,198952.07,22,3.125
0,805,36540,0,35,2,30730.93,18,3.75
0,798,31084,0,30,2,189577.31,20,3.75
0,634,31084,0,29,1,197261.35,11,4.375
0,806,36084,0,40,1,384492.73,8,3
0,785,16740,0,42,1,254000,6,3.625
0,705,15380,0,32,2,196091.47,20,3.99
0,690,47894,0,32,2,184451.18,20,3.625
0,748,13820,0,45,1,91205.44,21,3.75
0,749,35004,0,30,1,137000,6,3.625
0,712,41740,0,45,2,321210.63,13,3.875
0,689,11244,0,26,2,392127.93,21,4.25
0,735,41940,0,42,1,592528.33,15,4
0,790,17140,0,41,2,225540.39,18,3.75
0,752,41740,0,38,1,300517.38,8,3.75
0,767,40900,0,37,1,458223.54,16,4.25
0,777,42644,25,29,2,314646.41,18,4.25
0,768,45820,30,45,2,195434.6,15,3.75
0,790,19124,0,37,2,345627.33,17,3
0,789,31084,0,32,1,340298.3,16,3.75
0,676,12260,25,39,1,187746.83,17,4.375
0,715,-1,30,35,2,226000,5,4
0,803,43524,0,35,2,269753.42,19,3.75
0,788,26900,0,47,2,228064.17,21,3.125
0,781,-1,0,14,1,80197.33,15,3.625
0,766,16740,0,18,2,399978.15,19,3.625
0,743,41740,0,40,2,228422.78,18,3.875
0,799,25860,0,23,2,308356.2,18,4
0,807,-1,0,14,2,39000,1,2.875
0,721,40900,0,39,1,209289.43,20,3.875
